100000064,롯데아파트,N,37.6104667,126.9764667,서울,71472,7211&1020&110B국민대&153&1711&,,서울특별시 종로구 평창동 66-4,서울특별시,종로구,평창동,66-4
100000065,롯데아파트,N,37.6100333,126.9761333,서울,71473,7211&1020&110A고려대&153&1711&,,서울특별시 종로구 평창동 66-169,서울특별시,종로구,평창동,66-169
100000066,벽산평창힐스아파트,N,37.60825,126.9728833,서울,71474,7211&1020&110A고려대&153&1711&,,서울특별시 종로구 평창동 43-3,서울특별시,종로구,평창동,43-3
100000067,예능교회,N,37.6065333,126.9700833,서울,71475,7211&1020&110A고려대&153&1711&,,서울특별시 종로구 평창동 157-8,서울특별시,종로구,평창동,157-8
100000068,서울예술고등학교.평창동주민센터,N,37.6058167,126.9676167,서울,71498,7211&1020&110A고려대&153&1711&,,서울특별시 종로구 평창동 187-2,서울특별시,종로구,평창동,187-2
100000069,화정박물관,N,37.6045333,126.9648,서울,71499,7211&1020&110A고려대&153&1711&,,서울특별시 종로구 평창동 289-8,서울특별시,종로구,평창동,289-8
100000072,독립문역,N,37.5732167,126.95945,서울,81123,706&7025&7737&,,서울특별시 종로구 무악동 47-33,서울특별시,종로구,무악동,47-33
100000073,서대문,N,37.5682833,126.9645167,서울,71502,750A&171&470&601&7024&710&750B&,,서울특별시 종로구 교남동 4-1,서울특별시,종로구,교남동,4-1
100000077,무교동,N,37.56925,126.98025,서울,71413,111&7018&,,서울특별시 종로구 서린동 93-2,서울특별시,종로구,서린동,93-2
100000082,종로5가,N,37.5706833,126.9998333,서울,71016,201&720&111&*9301&106&140&143&150&160&273&,서울특별시 종로구 종로 200,서울특별시 종로구 종로4가 176-1,서울특별시,종로구,종로4가,176-1
100000083,종로5가,N,37.5706667,126.9997167,서울,71518,106&150&140&143&160&273&,서울특별시 종로구 종로 198-2 대동빌딩,서울특별시 종로구 종로4가 165-5,서울특별시,종로구,종로4가,165-5
100000084,종로4가.종묘,N,37.57045,126.9967833,서울,71505,150&201&101&103&140&160&271&273&710&721&7212&,서울특별시 종로구 종로 172-1,서울특별시 종로구 종로4가 91,서울특별시,종로구,종로4가,91
100000085,종로4가.종묘,N,37.5703833,126.9947,서울,71025,720&111&143&201&260&262&270&271&370&721&N15&N26&,서울특별시 종로구 종로 129 1호선 종로3가역,서울특별시 종로구 종로3가 45-4,서울특별시,종로구,종로3가,45-4
100000086,종로3가역15번출구,N,37.5701667,126.99085,서울,71010,201&111&*9301&101&103&140&7212&,서울특별시 종로구 종로 129 1호선 종로3가역,서울특별시 종로구 종로3가 137-3,서울특별시,종로구,종로3가,137-3
100000087,종로3가,N,37.57005,126.9889333,서울,71458,150&720&140&143&160&260&262&270&271&273&370&710&721&N15&N26&,서울특별시 종로구 종로 55 종각지하철역사,서울특별시 종로구 종로2가 84-11,서울특별시,종로구,종로2가,84-11
100000089,종로2가,N,37.5692667,126.98745,서울,71459,701&501&,서울특별시 종로구 삼일대로17길 8,서울특별시 종로구 관철동 7-5,서울특별시,종로구,관철동,7-5
100000090,종로2가,N,37.57,126.9864833,서울,71460,471&701&N37&101&103&143&201&262&470&501&7212&9401&9401공차&N15&,서울특별시 종로구 종로 82 덴탈빌딩,서울특별시 종로구 종로2가 75-5,서울특별시,종로구,종로2가,75-5
100000091,종로2가,N,37.5700167,126.9854,서울,71013,150&201&720&8110&111&*9301&101&143&160&260&262&270&271&273&370&6002&710&721&N15&N26&,서울특별시 종로구 종로 55 종각지하철역사,서울특별시 종로구 종로2가 84-11,서울특별시,종로구,종로2가,84-11
