subway,서울역,,37.5544092,126.9707527,,150,,공항철도 1호선&경의선&경의선&경부선&4호선&1호선
subway,시청역,,37.56499534,126.9762809,,151,,2호선&1호선
subway,종각역,,37.57007096,126.9830618,,152,,1호선
subway,종로3가역,,37.57148477,126.992004,,153,,5호선&3호선&1호선
subway,종로5가역,,37.57076436,127.0015216,,154,,1호선
subway,동대문역,,37.57093701,127.0105456,,155,,4호선&1호선
subway,신설동역,,37.57537509,127.0249772,,156,,2호선&1호선
subway,제기동역,,37.57806483,127.0349855,,157,,1호선
subway,청량리역,,37.57979466,127.0460808,,158,,경원선&1호선
subway,동묘앞역,,37.57229512,127.0162826,,159,,6호선&1호선
subway,을지로입구역,,37.56578928,126.9819174,,202,,2호선
subway,을지로3가역,,37.56648602,126.9912576,,203,,3호선&2호선
subway,을지로4가역,,37.56712433,126.9983432,,204,,5호선&2호선
subway,동대문역사문화공원역,,37.56524294,127.0078284,,205,,5호선&4호선&2호선
subway,신당역,,37.56564562,127.0178342,,206,,6호선&2호선
subway,상왕십리역,,37.56438569,127.0293246,,207,,2호선
subway,왕십리역,,37.56131665,127.0370741,,208,,경원선
subway,한양대역,,37.55554818,127.0435675,,209,,2호선
subway,뚝섬역,,37.54726848,127.0473243,,210,,2호선
subway,성수역,,37.54456548,127.0558817,,211,,2호선
subway,건대입구역,,37.54077017,127.0703305,,212,,7호선&2호선
subway,구의역,,37.5370658,127.0861764,,213,,2호선
subway,강변역,,37.53515647,127.0947187,,214,,2호선
subway,잠실나루역,,37.52060023,127.1031846,,215,,2호선
subway,잠실역,,37.51359863,127.1020893,,216,,8호선&2호선
subway,신천역,,37.51162144,127.0865458,,217,,2호선
subway,종합운동장역,,37.51134858,127.0741808,,218,,9호선2단계&2호선
subway,삼성역,,37.50904841,127.0629362,,219,,2호선
subway,선릉역,,37.50497496,127.0493839,,220,,분당선&2호선
subway,역삼역,,37.50038426,127.0369412,,221,,2호선
subway,강남역,,37.49690873,127.0280737,,222,,2호선
subway,서초역,,37.49157762,127.0080031,,224,,2호선
subway,방배역,,37.48151535,126.9975193,,225,,2호선
subway,사당역,,37.47660148,126.9816152,,226,,4호선&2호선
subway,낙성대역,,37.47755938,126.9637296,,227,,2호선
subway,서울대입구역,,37.48105136,126.9530324,,228,,2호선
subway,봉천역,,37.48216335,126.9415672,,229,,2호선
subway,신림역,,37.48374247,126.9296716,,230,,2호선
subway,신대방역,,37.48755131,126.9128748,,231,,2호선
subway,구로디지털단지역,,37.48531865,126.9016069,,232,,2호선
subway,대림역,,37.49338622,126.8954221,,233,,7호선&2호선
subway,신도림역,,37.50874248,126.8911025,,234,,경부선&2호선
subway,문래역,,37.51800085,126.8947357,,235,,2호선
subway,영등포구청역,,37.52497943,126.8961466,,236,,5호선&2호선
subway,당산역,,37.53487066,126.9025365,,237,,9호선&2호선
subway,합정역,,37.54993725,126.9142178,,238,,6호선&2호선
subway,홍대입구역,,37.55673836,126.9252557,,239,,공항철도 1호선&경의선&2호선
subway,신촌역,,37.55537589,126.9370587,,240,,경의선&2호선
subway,이대역,,37.55651581,126.946261,,241,,2호선
subway,아현역,,37.55707127,126.9557537,,242,,2호선
subway,충정로역,,37.56028887,126.9638554,,243,,5호선&2호선
subway,용답역,,37.56190643,127.0506563,,244,,2호선
subway,신답역,,37.57023285,127.0474696,,245,,2호선
subway,도림천역,,37.51418683,126.8823714,,247,,2호선
subway,양천구청역,,37.51201388,126.8658975,,248,,2호선
subway,신정네거리역,,37.51979397,126.8531463,,249,,2호선
subway,용두역,,37.57416449,127.0379179,,250,,2호선
subway,지축역,,37.6479459,126.9137859,,309,,3호선
subway,구파발역,,37.63675929,126.9186481,,310,,3호선
subway,연신내역,,37.61886021,126.9209198,,311,,6호선&3호선
subway,불광역,,37.60984534,126.9298313,,312,,6호선&3호선
subway,녹번역,,37.60078498,126.9358871,,313,,3호선
subway,홍제역,,37.58876297,126.9442082,,314,,3호선
subway,무악재역,,37.58243016,126.9505666,,315,,3호선
subway,독립문역,,37.57451522,126.9578848,,316,,3호선
subway,경복궁역,,37.57576324,126.9731438,,317,,3호선
subway,안국역,,37.57659441,126.9851206,,318,,3호선
subway,충무로역,,37.56157405,126.9942237,,321,,4호선&3호선
subway,동대입구역,,37.55957402,127.005415,,322,,3호선
subway,약수역,,37.55396235,127.0107337,,323,,6호선&3호선
subway,금호역,,37.54801533,127.0156124,,324,,3호선
subway,옥수역,,37.54113141,127.0182136,,325,,경원선&3호선
subway,압구정역,,37.52661631,127.028487,,326,,3호선
subway,신사역,,37.51646188,127.0202532,,327,,3호선
subway,잠원역,,37.51260669,127.0113756,,328,,3호선
subway,고속터미널역,,37.50461701,127.004919,,329,,9호선&7호선&3호선
subway,교대역,,37.49336112,127.013906,,330,,3호선&2호선
subway,남부터미널역,,37.48514369,127.0166047,,331,,3호선
subway,양재역,,37.48390396,127.0341972,,332,,3호선
subway,매봉역,,37.48733427,127.0471791,,333,,3호선
subway,도곡역,,37.49091672,127.0555398,,334,,분당선&3호선
subway,대치역,,37.49404819,127.0636928,,335,,3호선
subway,학여울역,,37.49652003,127.0710679,,336,,3호선
subway,대청역,,37.4939486,127.0796732,,337,,3호선
subway,일원역,,37.48445574,127.0848417,,338,,3호선
subway,수서역,,37.48727127,127.1023027,,339,,분당선&3호선
subway,경찰병원역,,37.49553995,127.1240256,,341,,3호선
subway,당고개역,,37.67047739,127.0790735,,409,,4호선
subway,상계역,,37.66036492,127.0732967,,410,,4호선
subway,노원역,,37.65536877,127.0625352,,411,,7호선&4호선
